伝票番号,購入日時,店舗,顧客ID,商品カテゴリ,商品名,単価,数量,合計購入金額,決済方法
INV-14242,2025-08-08,さいたま店,C-047,日用雑貨,高機能マスク,1404,1,1404,電子マネー
INV-14556,2025-08-08,東京本店,C-033,加工食品,パスタソース,475,1,475,現金
INV-10215,2025-08-08,千葉店,C-026,家庭用品,電動歯ブラシ,2611,1,2611,現金
INV-14946,2025-08-08,東京本店,C-214,日用雑貨,抗菌洗剤セット,493,1,493,クレジットカード
INV-11583,2025-08-08,千葉店,C-016,飲料・酒類,ミネラルウォーター,3888,1,3888,QR決済
INV-14016,2025-08-08,東京本店,C-055,日用雑貨,高機能マスク,664,2,1328,クレジットカード
INV-16349,2025-08-08,横浜店,C-263,加工食品,レトルトカレー,373,1,373,電子マネー
INV-16231,2025-08-08,横浜店,C-259,日用雑貨,キッチンペーパー,535,2,1070,クレジットカード
INV-16858,2025-08-08,横浜店,C-104,飲料・酒類,クラフトビール6缶パック,4886,3,14658,電子マネー
INV-14225,2025-08-08,東京本店,C-054,飲料・酒類,クラフトビール6缶パック,4948,1,4948,現金
INV-16753,2025-08-09,千葉店,C-259,生鮮食品,季節のフルーツ盛,2828,2,5656,クレジットカード
INV-15582,2025-08-09,横浜店,C-015,日用雑貨,高機能マスク,1293,1,1293,現金
INV-12472,2025-08-09,千葉店,C-157,生鮮食品,朝採れ野菜セット,2053,2,4106,クレジットカード
INV-19407,2025-08-09,さいたま店,C-242,加工食品,パスタソース,424,2,848,QR決済
INV-16577,2025-08-09,ECサイト,C-114,日用雑貨,抗菌洗剤セット,1246,2,2492,電子マネー
INV-13896,2025-08-09,東京本店,C-233,生鮮食品,季節のフルーツ盛,2110,1,2110,電子マネー
INV-13691,2025-08-09,東京本店,C-261,加工食品,パスタソース,545,1,545,現金
INV-15433,2025-08-09,千葉店,C-288,生鮮食品,朝採れ野菜セット,1503,1,1503,電子マネー
INV-16058,2025-08-09,千葉店,C-037,飲料・酒類,ミネラルウォーター,3561,2,7122,QR決済
INV-19986,2025-08-09,横浜店,C-029,飲料・酒類,ミネラルウォーター,770,1,770,QR決済
INV-16919,2025-08-09,東京本店,C-098,家庭用品,電動歯ブラシ,4665,1,4665,現金
INV-10256,2025-08-09,東京本店,C-097,生鮮食品,季節のフルーツ盛,1484,1,1484,現金
INV-17018,2025-08-09,さいたま店,C-021,飲料・酒類,クラフトビール6缶パック,1116,2,2232,クレジットカード
INV-11405,2025-08-09,ECサイト,C-116,飲料・酒類,クラフトビール6缶パック,2351,1,2351,QR決済
INV-18105,2025-08-09,さいたま店,C-116,日用雑貨,キッチンペーパー,681,5,3405,クレジットカード
INV-17742,2025-08-09,ECサイト,C-010,家庭用品,セラミックフライパン,4840,5,24200,クレジットカード
INV-15753,2025-08-09,横浜店,C-273,家庭用品,LED電球,7193,1,7193,現金
INV-16609,2025-08-09,千葉店,C-004,飲料・酒類,クラフトビール6缶パック,4240,1,4240,QR決済
INV-15338,2025-08-09,ECサイト,C-283,加工食品,パスタソース,392,1,392,現金
INV-18140,2025-08-09,千葉店,C-240,家庭用品,電動歯ブラシ,7760,1,7760,QR決済
INV-11838,2025-08-09,横浜店,C-276,生鮮食品,国産牛サーロイン,1947,3,5841,電子マネー
INV-17062,2025-08-09,東京本店,C-020,飲料・酒類,クラフトビール6缶パック,3081,5,15405,クレジットカード
INV-13353,2025-08-09,千葉店,C-276,飲料・酒類,高級赤ワイン,856,5,4280,クレジットカード
INV-17969,2025-08-09,ECサイト,C-194,日用雑貨,キッチンペーパー,427,2,854,電子マネー
INV-15879,2025-08-09,さいたま店,C-038,生鮮食品,季節のフルーツ盛,1971,2,3942,現金
INV-10577,2025-08-10,東京本店,C-019,加工食品,レトルトカレー,445,3,1335,クレジットカード
INV-10376,2025-08-10,千葉店,C-026,日用雑貨,キッチンペーパー,1235,1,1235,電子マネー
INV-17867,2025-08-10,さいたま店,C-171,日用雑貨,キッチンペーパー,486,1,486,電子マネー
INV-16590,2025-08-10,東京本店,C-105,生鮮食品,国産牛サーロイン,1836,1,1836,クレジットカード
INV-18963,2025-08-10,千葉店,C-286,家庭用品,LED電球,6077,2,12154,現金
INV-17518,2025-08-10,横浜店,C-119,生鮮食品,朝採れ野菜セット,1864,2,3728,現金
INV-16509,2025-08-10,ECサイト,C-033,飲料・酒類,ミネラルウォーター,3632,1,3632,クレジットカード
INV-16688,2025-08-10,ECサイト,C-093,家庭用品,電動歯ブラシ,2873,1,2873,現金
INV-10871,2025-08-10,千葉店,C-146,家庭用品,電動歯ブラシ,4279,1,4279,電子マネー
INV-18587,2025-08-10,さいたま店,C-104,家庭用品,セラミックフライパン,7416,1,7416,電子マネー
INV-10312,2025-08-10,千葉店,C-228,日用雑貨,キッチンペーパー,409,1,409,クレジットカード
INV-11991,2025-08-10,横浜店,C-226,日用雑貨,キッチンペーパー,421,2,842,QR決済
INV-16714,2025-08-10,さいたま店,C-109,加工食品,レトルトカレー,619,1,619,QR決済
INV-13424,2025-08-10,さいたま店,C-297,加工食品,パスタソース,617,2,1234,電子マネー
INV-17205,2025-08-10,ECサイト,C-264,生鮮食品,季節のフルーツ盛,1968,1,1968,QR決済
INV-16158,2025-08-10,さいたま店,C-213,日用雑貨,高機能マスク,752,2,1504,現金
INV-14743,2025-08-10,千葉店,C-058,家庭用品,電動歯ブラシ,5515,2,11030,電子マネー
INV-12378,2025-08-10,横浜店,C-022,家庭用品,LED電球,4238,1,4238,QR決済
INV-15845,2025-08-10,千葉店,C-040,飲料・酒類,ミネラルウォーター,1221,2,2442,クレジットカード
INV-14822,2025-08-10,ECサイト,C-045,日用雑貨,キッチンペーパー,781,1,781,QR決済
INV-19119,2025-08-10,さいたま店,C-193,加工食品,パスタソース,488,1,488,クレジットカード
INV-10327,2025-08-10,横浜店,C-186,加工食品,パスタソース,466,1,466,電子マネー
INV-17904,2025-08-10,千葉店,C-159,飲料・酒類,クラフトビール6缶パック,3867,4,15468,クレジットカード
INV-19827,2025-08-11,千葉店,C-256,飲料・酒類,ミネラルウォーター,2576,1,2576,電子マネー
INV-16403,2025-08-11,横浜店,C-221,家庭用品,セラミックフライパン,6471,2,12942,電子マネー
INV-13263,2025-08-11,横浜店,C-269,加工食品,特製ドレッシング,305,1,305,電子マネー
INV-10888,2025-08-11,横浜店,C-149,家庭用品,LED電球,6799,1,6799,クレジットカード
INV-10339,2025-08-11,さいたま店,C-007,日用雑貨,抗菌洗剤セット,1046,1,1046,現金
INV-19738,2025-08-11,横浜店,C-049,生鮮食品,朝採れ野菜セット,2481,1,2481,QR決済
INV-18424,2025-08-11,横浜店,C-274,家庭用品,電動歯ブラシ,5049,2,10098,QR決済
INV-19395,2025-08-11,さいたま店,C-293,加工食品,特製ドレッシング,610,3,1830,QR決済
INV-10686,2025-08-11,ECサイト,C-106,生鮮食品,国産牛サーロイン,2815,2,5630,現金
INV-13361,2025-08-11,東京本店,C-203,加工食品,レトルトカレー,454,4,1816,クレジットカード
INV-18489,2025-08-11,ECサイト,C-244,日用雑貨,キッチンペーパー,1294,1,1294,現金
INV-12020,2025-08-11,横浜店,C-128,加工食品,レトルトカレー,391,1,391,現金
INV-12391,2025-08-11,千葉店,C-277,加工食品,パスタソース,502,1,502,電子マネー
INV-17170,2025-08-11,ECサイト,C-271,日用雑貨,高機能マスク,1319,1,1319,QR決済
INV-15369,2025-08-11,ECサイト,C-102,日用雑貨,抗菌洗剤セット,1310,1,1310,電子マネー
INV-12151,2025-08-11,さいたま店,C-073,家庭用品,LED電球,7021,5,35105,電子マネー
INV-18874,2025-08-11,千葉店,C-060,日用雑貨,抗菌洗剤セット,814,1,814,クレジットカード
INV-12161,2025-08-11,ECサイト,C-242,加工食品,パスタソース,470,1,470,現金
INV-18303,2025-08-11,横浜店,C-234,飲料・酒類,クラフトビール6缶パック,626,1,626,QR決済
INV-17970,2025-08-11,横浜店,C-148,加工食品,パスタソース,694,1,694,現金
INV-15352,2025-08-11,さいたま店,C-111,家庭用品,電動歯ブラシ,5099,1,5099,クレジットカード
INV-10903,2025-08-11,千葉店,C-009,飲料・酒類,ミネラルウォーター,2861,1,2861,現金
INV-10190,2025-08-11,ECサイト,C-256,家庭用品,セラミックフライパン,3092,4,12368,電子マネー
INV-11582,2025-08-12,さいたま店,C-091,家庭用品,電動歯ブラシ,7050,2,14100,クレジットカード
INV-16800,2025-08-12,千葉店,C-195,飲料・酒類,高級赤ワイン,1441,1,1441,クレジットカード
INV-10730,2025-08-12,横浜店,C-010,家庭用品,電動歯ブラシ,5686,1,5686,電子マネー
INV-13579,2025-08-12,さいたま店,C-139,生鮮食品,季節のフルーツ盛,2720,1,2720,現金
INV-11539,2025-08-12,横浜店,C-210,加工食品,レトルトカレー,412,1,412,電子マネー
INV-13299,2025-08-12,さいたま店,C-029,飲料・酒類,クラフトビール6缶パック,4611,1,4611,クレジットカード
INV-13153,2025-08-12,横浜店,C-300,家庭用品,電動歯ブラシ,4389,1,4389,QR決済
INV-13536,2025-08-12,ECサイト,C-276,生鮮食品,国産牛サーロイン,2419,1,2419,QR決済
INV-14297,2025-08-12,さいたま店,C-211,飲料・酒類,高級赤ワイン,3757,1,3757,QR決済
INV-16793,2025-08-12,横浜店,C-127,加工食品,レトルトカレー,645,1,645,現金
INV-15836,2025-08-12,ECサイト,C-228,日用雑貨,キッチンペーパー,823,2,1646,現金
INV-17420,2025-08-12,ECサイト,C-178,日用雑貨,キッチンペーパー,1205,1,1205,QR決済
INV-19621,2025-08-12,さいたま店,C-074,加工食品,レトルトカレー,596,2,1192,現金
INV-13402,2025-08-12,横浜店,C-288,日用雑貨,キッチンペーパー,1057,2,2114,クレジットカード
INV-19664,2025-08-12,東京本店,C-110,飲料・酒類,ミネラルウォーター,1726,1,1726,現金
INV-12725,2025-08-12,千葉店,C-081,日用雑貨,高機能マスク,400,3,1200,クレジットカード
INV-12460,2025-08-12,さいたま店,C-293,家庭用品,LED電球,3579,4,14316,現金
INV-15965,2025-08-12,千葉店,C-233,飲料・酒類,ミネラルウォーター,1559,2,3118,QR決済
INV-17312,2025-08-12,東京本店,C-223,家庭用品,セラミックフライパン,3671,1,3671,QR決済
INV-11662,2025-08-12,東京本店,C-071,生鮮食品,朝採れ野菜セット,2239,5,11195,現金
INV-19772,2025-08-12,横浜店,C-223,飲料・酒類,高級赤ワイン,1862,5,9310,現金
INV-18431,2025-08-12,東京本店,C-178,生鮮食品,季節のフルーツ盛,2355,1,2355,クレジットカード
INV-12727,2025-08-12,千葉店,C-299,加工食品,パスタソース,354,2,708,現金
INV-14119,2025-08-12,ECサイト,C-058,加工食品,パスタソース,372,2,744,クレジットカード
INV-17502,2025-08-13,東京本店,C-024,加工食品,パスタソース,794,5,3970,QR決済
INV-12129,2025-08-13,横浜店,C-166,日用雑貨,高機能マスク,1105,3,3315,電子マネー
INV-14508,2025-08-13,さいたま店,C-162,生鮮食品,国産牛サーロイン,2890,1,2890,電子マネー
INV-18609,2025-08-13,さいたま店,C-289,家庭用品,セラミックフライパン,5642,1,5642,QR決済
INV-14285,2025-08-13,ECサイト,C-196,家庭用品,電動歯ブラシ,5540,5,27700,電子マネー
INV-12027,2025-08-13,東京本店,C-131,生鮮食品,季節のフルーツ盛,2440,1,2440,QR決済
INV-18039,2025-08-13,東京本店,C-170,日用雑貨,抗菌洗剤セット,405,3,1215,電子マネー
INV-11395,2025-08-13,横浜店,C-257,家庭用品,LED電球,7252,1,7252,QR決済
INV-14974,2025-08-13,横浜店,C-185,日用雑貨,高機能マスク,863,3,2589,QR決済
INV-15043,2025-08-13,さいたま店,C-038,加工食品,特製ドレッシング,425,1,425,現金
INV-12675,2025-08-13,横浜店,C-195,生鮮食品,国産牛サーロイン,2966,4,11864,クレジットカード
INV-17796,2025-08-13,横浜店,C-116,日用雑貨,キッチンペーパー,616,1,616,電子マネー
INV-10787,2025-08-13,ECサイト,C-168,飲料・酒類,クラフトビール6缶パック,3760,3,11280,現金
INV-14528,2025-08-13,横浜店,C-050,家庭用品,電動歯ブラシ,5990,3,17970,電子マネー
INV-15252,2025-08-13,さいたま店,C-159,日用雑貨,キッチンペーパー,786,1,786,QR決済
INV-15330,2025-08-13,さいたま店,C-075,生鮮食品,国産牛サーロイン,2720,1,2720,現金
INV-17397,2025-08-13,東京本店,C-050,加工食品,特製ドレッシング,353,1,353,QR決済
INV-11753,2025-08-13,千葉店,C-282,生鮮食品,朝採れ野菜セット,1603,4,6412,QR決済
INV-11499,2025-08-13,横浜店,C-213,生鮮食品,朝採れ野菜セット,2396,3,7188,電子マネー
INV-18079,2025-08-13,千葉店,C-245,生鮮食品,朝採れ野菜セット,1888,2,3776,クレジットカード
INV-15810,2025-08-13,ECサイト,C-058,日用雑貨,抗菌洗剤セット,757,1,757,QR決済
INV-15036,2025-08-13,ECサイト,C-193,加工食品,パスタソース,653,1,653,クレジットカード
INV-14472,2025-08-13,千葉店,C-106,加工食品,レトルトカレー,544,1,544,クレジットカード
INV-11707,2025-08-13,ECサイト,C-052,日用雑貨,キッチンペーパー,1194,2,2388,電子マネー
INV-14443,2025-08-13,ECサイト,C-129,加工食品,特製ドレッシング,643,3,1929,現金
INV-18473,2025-08-13,ECサイト,C-201,日用雑貨,高機能マスク,622,1,622,QR決済
INV-11988,2025-08-13,千葉店,C-283,家庭用品,セラミックフライパン,4309,1,4309,電子マネー
INV-14817,2025-08-13,ECサイト,C-013,日用雑貨,抗菌洗剤セット,1261,1,1261,電子マネー
INV-10473,2025-08-13,千葉店,C-231,家庭用品,LED電球,4606,2,9212,電子マネー
INV-15447,2025-08-13,東京本店,C-141,日用雑貨,キッチンペーパー,1298,1,1298,QR決済
INV-15725,2025-08-13,千葉店,C-200,飲料・酒類,高級赤ワイン,3559,2,7118,現金
INV-16307,2025-08-13,千葉店,C-155,家庭用品,LED電球,4637,1,4637,電子マネー
INV-13219,2025-08-13,千葉店,C-136,日用雑貨,キッチンペーパー,1304,1,1304,電子マネー
INV-14638,2025-08-13,東京本店,C-177,家庭用品,電動歯ブラシ,5544,1,5544,QR決済
INV-14900,2025-08-14,さいたま店,C-230,日用雑貨,高機能マスク,440,1,440,電子マネー
INV-15906,2025-08-14,横浜店,C-280,飲料・酒類,クラフトビール6缶パック,2413,1,2413,電子マネー
INV-18179,2025-08-14,横浜店,C-048,日用雑貨,キッチンペーパー,706,5,3530,電子マネー
INV-10093,2025-08-14,東京本店,C-261,日用雑貨,高機能マスク,950,2,1900,現金
INV-15406,2025-08-14,さいたま店,C-195,飲料・酒類,ミネラルウォーター,4058,2,8116,電子マネー
INV-16983,2025-08-14,横浜店,C-274,飲料・酒類,高級赤ワイン,2320,1,2320,QR決済
INV-17575,2025-08-14,ECサイト,C-149,飲料・酒類,クラフトビール6缶パック,1517,1,1517,クレジットカード
INV-19679,2025-08-14,さいたま店,C-221,家庭用品,電動歯ブラシ,6214,2,12428,現金
INV-11935,2025-08-14,横浜店,C-040,加工食品,パスタソース,397,2,794,QR決済
INV-16907,2025-08-14,ECサイト,C-200,日用雑貨,高機能マスク,730,1,730,クレジットカード
INV-14027,2025-08-14,東京本店,C-179,日用雑貨,抗菌洗剤セット,638,1,638,現金
INV-14278,2025-08-14,東京本店,C-250,飲料・酒類,クラフトビール6缶パック,4333,1,4333,QR決済
INV-13603,2025-08-14,さいたま店,C-261,家庭用品,電動歯ブラシ,4366,1,4366,クレジットカード
INV-16622,2025-08-14,横浜店,C-091,家庭用品,セラミックフライパン,5949,3,17847,電子マネー
INV-19472,2025-08-14,さいたま店,C-043,家庭用品,LED電球,3364,2,6728,現金
INV-19592,2025-08-14,横浜店,C-299,加工食品,パスタソース,760,2,1520,電子マネー
INV-11512,2025-08-14,さいたま店,C-065,飲料・酒類,クラフトビール6缶パック,4416,1,4416,現金
INV-14102,2025-08-14,さいたま店,C-220,家庭用品,電動歯ブラシ,7478,1,7478,現金
INV-12966,2025-08-14,横浜店,C-278,飲料・酒類,高級赤ワイン,671,1,671,QR決済
INV-15439,2025-08-14,千葉店,C-024,飲料・酒類,ミネラルウォーター,3342,1,3342,クレジットカード
INV-12201,2025-08-14,ECサイト,C-289,日用雑貨,高機能マスク,445,1,445,QR決済
INV-13749,2025-08-14,さいたま店,C-036,飲料・酒類,クラフトビール6缶パック,2509,1,2509,電子マネー
INV-17138,2025-08-14,ECサイト,C-166,飲料・酒類,ミネラルウォーター,4447,1,4447,QR決済
INV-15863,2025-08-14,ECサイト,C-225,家庭用品,セラミックフライパン,5772,5,28860,クレジットカード
INV-16477,2025-08-14,東京本店,C-132,家庭用品,LED電球,5223,1,5223,クレジットカード
INV-11216,2025-08-14,千葉店,C-073,飲料・酒類,クラフトビール6缶パック,1708,4,6832,現金
INV-14258,2025-08-15,東京本店,C-230,日用雑貨,高機能マスク,1331,3,3993,クレジットカード
INV-13856,2025-08-15,横浜店,C-199,加工食品,パスタソース,628,1,628,現金
INV-11362,2025-08-15,ECサイト,C-246,家庭用品,電動歯ブラシ,2516,1,2516,電子マネー
INV-17503,2025-08-15,東京本店,C-106,加工食品,レトルトカレー,396,1,396,現金
INV-17393,2025-08-15,さいたま店,C-162,生鮮食品,朝採れ野菜セット,2175,1,2175,クレジットカード
INV-18239,2025-08-15,ECサイト,C-134,生鮮食品,朝採れ野菜セット,1805,1,1805,QR決済
INV-12273,2025-08-15,ECサイト,C-082,生鮮食品,国産牛サーロイン,2335,4,9340,クレジットカード
INV-13029,2025-08-15,さいたま店,C-048,飲料・酒類,高級赤ワイン,3287,3,9861,クレジットカード
INV-10520,2025-08-15,東京本店,C-296,生鮮食品,朝採れ野菜セット,2275,1,2275,現金
INV-18205,2025-08-15,ECサイト,C-022,飲料・酒類,ミネラルウォーター,2798,2,5596,電子マネー
INV-13567,2025-08-15,ECサイト,C-257,家庭用品,セラミックフライパン,4957,1,4957,電子マネー
INV-19988,2025-08-15,千葉店,C-297,家庭用品,電動歯ブラシ,6628,3,19884,現金
INV-17136,2025-08-15,ECサイト,C-261,飲料・酒類,高級赤ワイン,1909,1,1909,QR決済
INV-13934,2025-08-15,ECサイト,C-113,加工食品,パスタソース,661,1,661,現金
INV-19601,2025-08-15,ECサイト,C-193,飲料・酒類,高級赤ワイン,2991,1,2991,電子マネー
INV-12657,2025-08-15,千葉店,C-211,日用雑貨,抗菌洗剤セット,1196,1,1196,QR決済
INV-19335,2025-08-15,千葉店,C-069,日用雑貨,キッチンペーパー,716,4,2864,クレジットカード
INV-10773,2025-08-15,東京本店,C-204,飲料・酒類,ミネラルウォーター,2662,1,2662,現金
INV-14739,2025-08-15,横浜店,C-143,日用雑貨,キッチンペーパー,1035,1,1035,クレジットカード
INV-15246,2025-08-15,東京本店,C-195,飲料・酒類,ミネラルウォーター,2162,1,2162,現金
INV-16381,2025-08-15,千葉店,C-121,日用雑貨,高機能マスク,1041,1,1041,現金
INV-16847,2025-08-15,千葉店,C-024,日用雑貨,キッチンペーパー,460,1,460,現金
INV-17216,2025-08-15,ECサイト,C-239,日用雑貨,高機能マスク,992,1,992,電子マネー
INV-14028,2025-08-15,さいたま店,C-078,日用雑貨,抗菌洗剤セット,734,1,734,電子マネー
INV-18984,2025-08-15,千葉店,C-216,生鮮食品,季節のフルーツ盛,1556,2,3112,電子マネー
INV-14901,2025-08-15,ECサイト,C-168,飲料・酒類,ミネラルウォーター,1071,1,1071,現金
INV-17648,2025-08-15,さいたま店,C-020,生鮮食品,季節のフルーツ盛,2995,1,2995,QR決済
INV-12462,2025-08-15,横浜店,C-293,日用雑貨,高機能マスク,730,4,2920,クレジットカード
INV-11630,2025-08-16,千葉店,C-262,加工食品,特製ドレッシング,640,1,640,QR決済
INV-17285,2025-08-16,さいたま店,C-237,家庭用品,電動歯ブラシ,4839,1,4839,電子マネー
INV-14088,2025-08-16,ECサイト,C-012,加工食品,レトルトカレー,365,1,365,現金
INV-11739,2025-08-16,横浜店,C-297,加工食品,特製ドレッシング,779,1,779,QR決済
INV-17610,2025-08-16,さいたま店,C-233,家庭用品,LED電球,5332,3,15996,現金
INV-12425,2025-08-16,東京本店,C-187,家庭用品,電動歯ブラシ,6821,2,13642,現金
INV-15990,2025-08-16,千葉店,C-179,生鮮食品,朝採れ野菜セット,2173,1,2173,電子マネー
INV-14752,2025-08-16,千葉店,C-249,家庭用品,セラミックフライパン,7685,1,7685,電子マネー
INV-15305,2025-08-16,横浜店,C-025,家庭用品,電動歯ブラシ,6207,1,6207,クレジットカード
INV-19293,2025-08-16,さいたま店,C-022,飲料・酒類,ミネラルウォーター,1605,2,3210,電子マネー
INV-14710,2025-08-16,千葉店,C-139,日用雑貨,抗菌洗剤セット,791,2,1582,電子マネー
INV-18339,2025-08-16,さいたま店,C-240,家庭用品,セラミックフライパン,6895,1,6895,電子マネー
INV-19108,2025-08-16,横浜店,C-240,生鮮食品,国産牛サーロイン,1353,1,1353,電子マネー
INV-19383,2025-08-16,ECサイト,C-113,飲料・酒類,ミネラルウォーター,1007,2,2014,クレジットカード
INV-17678,2025-08-16,東京本店,C-008,飲料・酒類,ミネラルウォーター,3455,1,3455,QR決済
INV-17888,2025-08-16,横浜店,C-111,加工食品,レトルトカレー,604,2,1208,クレジットカード
INV-18846,2025-08-16,東京本店,C-070,家庭用品,電動歯ブラシ,5480,1,5480,QR決済
INV-18488,2025-08-16,東京本店,C-300,加工食品,パスタソース,455,2,910,現金
INV-14542,2025-08-16,東京本店,C-009,加工食品,レトルトカレー,715,2,1430,QR決済
INV-13482,2025-08-16,千葉店,C-273,家庭用品,電動歯ブラシ,4583,1,4583,クレジットカード
INV-14689,2025-08-16,千葉店,C-172,家庭用品,LED電球,6268,3,18804,電子マネー
INV-15730,2025-08-16,千葉店,C-133,家庭用品,電動歯ブラシ,3689,1,3689,クレジットカード
INV-12444,2025-08-16,さいたま店,C-082,加工食品,レトルトカレー,628,1,628,クレジットカード
INV-14550,2025-08-16,ECサイト,C-210,飲料・酒類,クラフトビール6缶パック,1304,1,1304,現金
INV-14781,2025-08-16,さいたま店,C-160,家庭用品,LED電球,2667,3,8001,電子マネー
INV-19552,2025-08-16,ECサイト,C-278,生鮮食品,季節のフルーツ盛,2116,2,4232,電子マネー
INV-16764,2025-08-16,横浜店,C-249,日用雑貨,抗菌洗剤セット,853,5,4265,QR決済
INV-11810,2025-08-16,東京本店,C-218,飲料・酒類,高級赤ワイン,2849,1,2849,電子マネー
INV-14656,2025-08-16,さいたま店,C-018,生鮮食品,国産牛サーロイン,2708,1,2708,現金
INV-11884,2025-08-16,千葉店,C-182,飲料・酒類,高級赤ワイン,2287,1,2287,電子マネー
INV-15614,2025-08-16,さいたま店,C-245,家庭用品,セラミックフライパン,5419,2,10838,クレジットカード
INV-10582,2025-08-16,横浜店,C-008,飲料・酒類,高級赤ワイン,4263,2,8526,QR決済
INV-18152,2025-08-17,ECサイト,C-270,生鮮食品,季節のフルーツ盛,1439,1,1439,クレジットカード
INV-17232,2025-08-17,千葉店,C-019,加工食品,特製ドレッシング,703,1,703,現金
INV-13602,2025-08-17,千葉店,C-255,生鮮食品,季節のフルーツ盛,2024,2,4048,電子マネー
INV-15858,2025-08-17,ECサイト,C-041,日用雑貨,キッチンペーパー,1409,5,7045,現金
INV-15001,2025-08-17,東京本店,C-006,加工食品,パスタソース,341,2,682,クレジットカード
INV-13813,2025-08-17,ECサイト,C-197,家庭用品,セラミックフライパン,7819,5,39095,電子マネー
INV-14190,2025-08-17,横浜店,C-088,加工食品,レトルトカレー,605,2,1210,クレジットカード
INV-12294,2025-08-17,横浜店,C-260,家庭用品,電動歯ブラシ,5272,3,15816,現金
INV-18264,2025-08-17,さいたま店,C-114,飲料・酒類,クラフトビール6缶パック,1714,1,1714,現金
INV-19019,2025-08-17,横浜店,C-017,日用雑貨,高機能マスク,1199,1,1199,QR決済
INV-16411,2025-08-17,東京本店,C-107,生鮮食品,季節のフルーツ盛,2523,1,2523,電子マネー
INV-15988,2025-08-17,さいたま店,C-289,家庭用品,電動歯ブラシ,3296,2,6592,現金
INV-12181,2025-08-17,東京本店,C-022,日用雑貨,キッチンペーパー,1047,2,2094,QR決済
INV-17306,2025-08-17,ECサイト,C-239,飲料・酒類,高級赤ワイン,1498,1,1498,QR決済
INV-13537,2025-08-17,東京本店,C-011,日用雑貨,抗菌洗剤セット,529,2,1058,QR決済
INV-12828,2025-08-17,さいたま店,C-120,飲料・酒類,高級赤ワイン,929,1,929,クレジットカード
INV-11686,2025-08-17,さいたま店,C-153,家庭用品,LED電球,5498,1,5498,クレジットカード
INV-13044,2025-08-17,横浜店,C-284,飲料・酒類,クラフトビール6缶パック,3708,1,3708,QR決済
INV-15055,2025-08-17,横浜店,C-270,家庭用品,セラミックフライパン,7160,3,21480,QR決済
INV-14479,2025-08-17,千葉店,C-231,加工食品,レトルトカレー,440,1,440,QR決済
INV-13453,2025-08-18,ECサイト,C-048,日用雑貨,キッチンペーパー,746,1,746,電子マネー
INV-16558,2025-08-18,千葉店,C-232,家庭用品,LED電球,4852,1,4852,電子マネー
INV-15468,2025-08-18,さいたま店,C-099,加工食品,レトルトカレー,548,1,548,電子マネー
INV-18059,2025-08-18,横浜店,C-218,家庭用品,電動歯ブラシ,3234,2,6468,クレジットカード
INV-10408,2025-08-18,東京本店,C-010,日用雑貨,キッチンペーパー,823,1,823,現金
INV-16655,2025-08-18,横浜店,C-232,日用雑貨,抗菌洗剤セット,1183,1,1183,クレジットカード
INV-19960,2025-08-18,横浜店,C-262,加工食品,レトルトカレー,579,2,1158,クレジットカード
INV-12896,2025-08-18,千葉店,C-163,飲料・酒類,ミネラルウォーター,3225,1,3225,電子マネー
INV-13494,2025-08-18,千葉店,C-284,日用雑貨,高機能マスク,774,1,774,クレジットカード
INV-16193,2025-08-18,ECサイト,C-207,生鮮食品,国産牛サーロイン,1305,2,2610,現金
INV-14553,2025-08-18,東京本店,C-101,飲料・酒類,ミネラルウォーター,4094,4,16376,QR決済
INV-19450,2025-08-18,東京本店,C-271,生鮮食品,朝採れ野菜セット,2645,2,5290,電子マネー
INV-10051,2025-08-18,千葉店,C-156,家庭用品,セラミックフライパン,7899,3,23697,QR決済
INV-19400,2025-08-18,東京本店,C-160,飲料・酒類,クラフトビール6缶パック,713,2,1426,クレジットカード
INV-13723,2025-08-18,東京本店,C-105,生鮮食品,季節のフルーツ盛,2664,1,2664,クレジットカード
INV-16251,2025-08-18,東京本店,C-010,家庭用品,セラミックフライパン,5972,4,23888,電子マネー
INV-15332,2025-08-18,横浜店,C-287,日用雑貨,抗菌洗剤セット,1005,4,4020,QR決済
INV-19628,2025-08-18,千葉店,C-261,日用雑貨,高機能マスク,1015,1,1015,現金
INV-15329,2025-08-18,東京本店,C-282,家庭用品,セラミックフライパン,3057,2,6114,クレジットカード
INV-15398,2025-08-18,千葉店,C-228,飲料・酒類,クラフトビール6缶パック,3824,3,11472,現金
INV-12931,2025-08-18,さいたま店,C-221,日用雑貨,高機能マスク,1429,1,1429,現金
INV-19624,2025-08-18,千葉店,C-268,日用雑貨,抗菌洗剤セット,680,3,2040,QR決済
INV-17302,2025-08-18,東京本店,C-245,家庭用品,LED電球,7107,1,7107,電子マネー
INV-11519,2025-08-18,千葉店,C-158,生鮮食品,朝採れ野菜セット,2613,2,5226,電子マネー
INV-17890,2025-08-18,横浜店,C-111,日用雑貨,高機能マスク,1135,1,1135,クレジットカード
INV-14952,2025-08-18,横浜店,C-262,加工食品,レトルトカレー,442,1,442,現金
INV-19898,2025-08-18,東京本店,C-103,家庭用品,セラミックフライパン,3603,1,3603,クレジットカード
INV-13154,2025-08-19,ECサイト,C-186,生鮮食品,朝採れ野菜セット,2094,1,2094,QR決済
INV-19978,2025-08-19,東京本店,C-050,飲料・酒類,高級赤ワイン,695,2,1390,QR決済
